INSTNM,STABBR
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY
Dominican College of Blauvelt,NY
Dowling College,NY
Dutchess Community College,NY
Belanger School of Nursing,NY
Elmira Business Institute,NY
Elmira College,NY
Erie Community College,NY
Fashion Institute of Technology,NY
Finger Lakes Community College,NY
Five Towns College,NY
Fordham University,NY
The International Culinary Center,NY
Fulton-Montgomery Community College,NY
Gemological Institute of America-New York,NY
The General Theological Seminary,NY
Genesee Community College,NY
Gloria Francis School of Make-Up Artistry,NY
Hamilton College,NY
Hartwick College,NY
Helene Fuld College of Nursing,NY
Herkimer County Community College,NY
Hilbert College,NY
Hobart William Smith Colleges,NY
Hofstra University,NY
Houghton College,NY
Hudson Valley Community College,NY
Hunter Business School,NY
Institute of Design and Construction,NY
Institute of Audio Research,NY
Iona College,NY
Isabella Graham Hart School of Practical Nursing,NY
Island Drafting and Technical Institute,NY
Ithaca College,NY
Jamestown Community College,NY
Jamestown Business College,NY
Jefferson Community College,NY
Jewish Theological Seminary of America,NY
The Juilliard School,NY
SBI Campus-An Affiliate of Sanford-Brown,NY
Kehilath Yakov Rabbinical Seminary,NY
Keuka College,NY
LIM College,NY
Le Moyne College,NY
LIU Brooklyn,NY
LIU Post,NY
Long Island Beauty School-Hempstead,NY
Long Island Business Institute,NY
LIU Hudson at Rockland,NY
LIU Brentwood,NY
Machzikei Hadath Rabbinical College,NY
Mandl School-The College of Allied Health,NY
Manhattan College,NY
Manhattan School of Music,NY
Manhattanville College,NY
Maria College of Albany,NY
Marion S Whelan School of Nursing of Geneva General Hospital,NY
Marist College,NY
MarJon School of Beauty ltd-Tonawanda,NY
Marymount Manhattan College,NY
Medaille College,NY
Memorial College of Nursing,NY
Memorial Hospital School of Radiation Therapy Technology,NY
Mercy College,NY
Mesivta Torah Vodaath Rabbinical Seminary,NY
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY
Mesivtha Tifereth Jerusalem of America,NY
Southern Westchester BOCES-Practical Nursing Program,NY
Midway Paris Beauty School,NY
Mildred Elley School-Albany Campus,NY
Mirrer Yeshiva Cent Institute,NY
Modern Welding School,NY
Mohawk Valley Community College,NY
Molloy College,NY
Monroe College,NY
Monroe Community College,NY
Mount Saint Mary College,NY
College of Mount Saint Vincent,NY
Icahn School of Medicine at Mount Sinai,NY
Nassau Community College,NY
Nazareth College,NY
Neighborhood Playhouse School of the Theater,NY
The College of New Rochelle,NY
The New School,NY
New School of Radio and Television,NY
New York Chiropractic College,NY
Star Career Academy-New York,NY
New York Law School,NY
New York Medical College,NY
New York School for Medical and Dental Assistants,NY
New York Theological Seminary,NY
New York University,NY
Niagara County Community College,NY
Niagara University,NY
Empire Beauty School-Peekskill,NY
North Country Community College,NY
New York College of Podiatric Medicine,NY
New York Institute of Technology,NY
New York School of Interior Design,NY
Nyack College,NY
Ohr Hameir Theological Seminary,NY
Onondaga Community College,NY
Orange County Community College,NY
Otsego Area BOCES-Practical Nursing Program,NY
Pace University-New York,NY
Paul Smiths College of Arts and Science,NY
Continental School of Beauty Culture-West Seneca,NY
Plaza College,NY
Davis College,NY
Pratt Institute-Main,NY
Professional Business College,NY
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY
Rabbinical College Bobover Yeshiva Bnei Zion,NY
Rabbinical College of Ch'san Sofer New York,NY
Rabbinical College Beth Shraga,NY
Rabbinical College of Long Island,NY
Rabbinical Seminary of America,NY
Rensselaer Polytechnic Institute,NY
Ridley-Lowell Business & Technical Institute-Binghamton,NY
Roberts Wesleyan College,NY
Everest Institute-Rochester,NY
Rochester Institute of Technology,NY
University of Rochester,NY
Rockland Community College,NY
Empire Beauty School-Manhattan,NY
The Sage Colleges,NY
St Bernard's School of Theology and Ministry,NY
St Bonaventure University,NY
St Francis College,NY
St Joseph's College of Nursing at St Joseph's Hospital Health Center,NY
St Lawrence University,NY
The College of Saint Rose,NY
St. Thomas Aquinas College,NY
Samaritan Hospital School of Nursing,NY
Sarah Lawrence College,NY
Schenectady County Community College,NY
Sh'or Yoshuv Rabbinical College,NY
Siena College,NY
Skidmore College,NY
Saint Joseph's College-New York,NY
Saint Vladimirs Orthodox Theological Seminary,NY
Spanish-American Institute,NY
Saint Elizabeth College of Nursing,NY
Saint John Fisher College,NY
St Paul's School of Nursing-Staten Island,NY
St James Mercy Hospital School of Radiologic Science,NY
St John's University-New York,NY
New York Career Institute,NY
Branford Hall Career Institute-Bohemia Campus,NY
Sullivan County Community College,NY
SUNY College of Technology at Alfred,NY
SUNY College of Technology at Canton,NY
SUNY College of Technology at Delhi,NY
SUNY College of Agriculture and Technology at Cobleskill,NY
Farmingdale State College,NY
Morrisville State College,NY
SUNY at Albany,NY
SUNY at Binghamton,NY
University at Buffalo,NY
Stony Brook University,NY
SUNY College of Environmental Science and Forestry,NY
SUNY Polytechnic Institute,NY
SUNY College at Brockport,NY
SUNY Buffalo State,NY
SUNY College at Cortland,NY
SUNY at Fredonia,NY
SUNY College at Geneseo,NY
State University of New York at New Paltz,NY
SUNY Oneonta,NY
SUNY College at Oswego,NY
SUNY College at Potsdam,NY
SUNY at Purchase College,NY
SUNY College of Optometry,NY
SUNY College at Old Westbury,NY
SUNY College at Plattsburgh,NY
SUNY Downstate Medical Center,NY
SUNY Empire State College,NY
SUNY Maritime College,NY
Upstate Medical University,NY
Swedish Institute a College of Health Sciences,NY
Syracuse University,NY
Talmudical Seminary Oholei Torah,NY
Talmudical Institute of Upstate New York,NY
Teachers College at Columbia University,NY
Technical Career Institutes,NY
Tompkins Cortland Community College,NY
Torah Temimah Talmudical Seminary,NY
Touro College,NY
Trocaire College,NY
Excelsior College,NY
Ulster County Community College,NY
Sanford-Brown Institute-New York,NY
Union College,NY
Union Theological Seminary in the City of New York,NY
United Talmudical Seminary,NY
United States Merchant Marine Academy,NY
Utica College,NY
Utica School of Commerce,NY
Vassar College,NY
Villa Maria College,NY
School of Visual Arts,NY
Wagner College,NY
Webb Institute,NY
Wells College,NY
The College of Westchester,NY
SUNY Westchester Community College,NY
Westchester School of Beauty Culture,NY
Wood Tobe-Coburn School,NY
Word of Life Bible Institute,NY
Yeshiva Karlin Stolin,NY
Yeshivat Mikdash Melech,NY
Yeshiva Derech Chaim,NY
Yeshiva of Nitra Rabbinical College,NY
Yeshiva Shaar Hatorah,NY
Yeshiva University,NY
Yeshivath Viznitz,NY
Yeshivath Zichron Moshe,NY
College of the Albemarle,NC
The Art Institute of Charlotte,NC
South Piedmont Community College,NC
Appalachian State University,NC
Asheville-Buncombe Technical Community College,NC
Barton College,NC
Beaufort County Community College,NC
Belmont Abbey College,NC
Bennett College,NC
Bladen Community College,NC
Blue Ridge Community College,NC
Brevard College,NC
Brookstone College-Charlotte,NC
Brunswick Community College,NC
Cabarrus College of Health Sciences,NC
Caldwell Community College and Technical Institute,NC
Campbell University,NC
Cape Fear Community College,NC
Carolina School of Broadcasting,NC
Carteret Community College,NC
Catawba College,NC
Catawba Valley Community College,NC
South College-Asheville,NC
Central Carolina Community College,NC
Central Piedmont Community College,NC
Chowan University,NC
Cleveland Community College,NC
Coastal Carolina Community College,NC
Craven Community College,NC
Davidson County Community College,NC
Davidson College,NC
Duke University,NC
Durham Technical Community College,NC
East Carolina University,NC
Edgecombe Community College,NC
Elizabeth City State University,NC
Elon University,NC
Fayetteville Beauty College,NC
Fayetteville Technical Community College,NC
Fayetteville State University,NC
Forsyth Technical Community College,NC
Gardner-Webb University,NC
Gaston College,NC
Greensboro College,NC
Guilford College,NC
Guilford Technical Community College,NC
Halifax Community College,NC
Haywood Community College,NC
Heritage Bible College,NC
High Point University,NC
Isothermal Community College,NC
James Sprunt Community College,NC
Laurel University,NC
Johnson C Smith University,NC
Johnston Community College,NC
Lees-McRae College,NC
Lenoir Community College,NC
Lenoir-Rhyne University,NC
Leons Beauty School Inc,NC
Livingstone College,NC
Louisburg College,NC
Mars Hill University,NC
Martin Community College,NC
Mayland Community College,NC
McDowell Technical Community College,NC
Mercy School of Nursing,NC
Meredith College,NC
Methodist University,NC
Miller-Motte College-Wilmington,NC
Mitchell Community College,NC
Mitchells Hairstyling Academy-Wilson,NC
Regina's College of Beauty-Monroe,NC
Montgomery Community College,NC
Montreat College,NC
University of Mount Olive,NC
College of Wilmington,NC
Nash Community College,NC
North Carolina A & T State University,NC
University of North Carolina at Asheville,NC
University of North Carolina at Chapel Hill,NC
University of North Carolina at Charlotte,NC
University of North Carolina at Greensboro,NC
North Carolina Central University,NC
University of North Carolina School of the Arts,NC
North Carolina State University at Raleigh,NC
North Carolina Wesleyan College,NC
University of North Carolina Wilmington,NC
Pamlico Community College,NC
William Peace University,NC
University of North Carolina at Pembroke,NC
Pfeiffer University,NC
Piedmont International University,NC
Piedmont Community College,NC
Pitt Community College,NC
Queens University of Charlotte,NC
Randolph Community College,NC
Richmond Community College,NC
Mid-Atlantic Christian University,NC
Roanoke-Chowan Community College,NC
Robeson Community College,NC
Rockingham Community College,NC
Rowan-Cabarrus Community College,NC
Saint Augustine's University,NC
Salem College,NC
Sampson Community College,NC
Sandhills Community College,NC
Shaw University,NC
Sherrill's University of Barber & Cosmetology,NC
Paul Mitchell the School-Fayetteville,NC
St Andrews University,NC
Empire Beauty School-Matthews,NC
Southeastern Community College,NC
Southwestern Community College,NC
Stanly Community College,NC
Southeastern Baptist Theological Seminary,NC
Surry Community College,NC
Alamance Community College,NC
Tri-County Community College,NC
Vance-Granville Community College,NC
Wake Forest University,NC
Wake Technical Community College,NC
Warren Wilson College,NC
Watts School of Nursing,NC
Wayne Community College,NC
Western Piedmont Community College,NC
Wilkes Community College,NC
Wilson Community College,NC
Wingate University,NC
Carolina Christian College,NC
Winston Salem Barber School,NC
Winston-Salem State University,NC
Western Carolina University,NC
Rasmussen College-North Dakota,ND
Bismarck State College,ND
Dickinson State University,ND
Nueta Hidatsa Sahnish College,ND
Josef's School of Hair Design Inc-Grand Forks,ND
Headquarters Academy of Hair Design Inc,ND
University of Jamestown,ND
Josef's School of Hair Design Inc-Fargo Downtown,ND
Lake Region State College,ND
Cankdeska Cikana Community College,ND
University of Mary,ND
Mayville State University,ND
Minot State University,ND
Moler Barber College,ND
University of North Dakota,ND
North Dakota State College of Science,ND
Dakota College at Bottineau,ND
North Dakota State University-Main Campus,ND
Williston State College,ND
JZ Trend Academy Paul Mitchell Partner School,ND
Sitting Bull College,ND
Trinity Bible College,ND
Turtle Mountain Community College,ND
United Tribes Technical College,ND
